date,rain (mm), rain (%),temp,temp_error,symbol
2016-08-07 00:00:00,0,1,13.3,1,3
2016-08-07 01:00:00,0,1,12.6,1.1,8
2016-08-07 02:00:00,0,0,11.8,1.1,8
2016-08-07 03:00:00,0,1,11.4,1.2,8
2016-08-07 04:00:00,0,0,11.4,1.2,3
2016-08-07 05:00:00,0,0,11.7,1.1,2
2016-08-07 06:00:00,0,1,12.7,1.1,2
2016-08-07 07:00:00,0,1,14.4,1,1
2016-08-07 08:00:00,0,1,16.9,0.9,1
2016-08-07 09:00:00,0,1,19,0.7,1
2016-08-07 10:00:00,0,1,20.6,0.7,1
2016-08-07 11:00:00,0,0,21.9,0.7,1
2016-08-07 12:00:00,0,0,23,0.7,1
2016-08-07 13:00:00,0,1,24,0.8,1
2016-08-07 14:00:00,0,1,24.7,1,1
2016-08-07 15:00:00,0,1,25.1,1.1,1
2016-08-07 16:00:00,0,2,25.2,1.2,1
2016-08-07 17:00:00,0,1,24.9,1.3,1
2016-08-07 18:00:00,0,1,23.8,1.3,1
2016-08-07 19:00:00,0,2,21.8,1.2,1
2016-08-07 20:00:00,0,2,19,1,1
2016-08-07 21:00:00,0,2,16.8,1,1
2016-08-07 22:00:00,0,2,15.4,1,3
2016-08-07 23:00:00,0,2,14.7,1.1,3
2016-08-10 00:00:00,0.8,67,13.8,1.2,11
2016-08-10 01:00:00,0.5,61,13.6,1.2,10
2016-08-10 02:00:00,0.4,50,13.3,1.3,10
2016-08-10 03:00:00,0.3,41,13,1.2,10
2016-08-10 04:00:00,0.2,35,12.7,1.2,11
2016-08-10 05:00:00,0.2,31,12.5,1.1,10
2016-08-10 06:00:00,0.2,28,12.5,1.1,10
2016-08-10 07:00:00,0.2,24,13.1,1.2,10
2016-08-10 08:00:00,0.2,22,14,1.3,10
2016-08-10 09:00:00,0.2,20,14.9,1.4,10
2016-08-10 10:00:00,0.2,20,15.5,1.5,3
2016-08-10 11:00:00,0.2,20,16.1,1.7,3
2016-08-10 12:00:00,0.1,21,16.4,1.8,3
2016-08-10 13:00:00,0.1,24,16.7,2,3
2016-08-10 14:00:00,0.1,27,16.8,2.1,3
2016-08-10 15:00:00,0.1,28,16.8,2.2,3
2016-08-10 16:00:00,0.1,28,16.6,2.1,10
2016-08-10 17:00:00,0.2,26,16.3,2,10
2016-08-10 18:00:00,0.2,24,15.7,1.8,10
2016-08-10 19:00:00,0.3,23,14.9,1.6,10
2016-08-10 20:00:00,0.2,21,13.7,1.3,2
2016-08-10 21:00:00,0.1,20,12.8,1.2,2
2016-08-10 22:00:00,0,18,12.2,1.1,3
2016-08-11 00:00:00,0,18,10.6,1.1,3
2016-08-11 01:00:00,0,18,10.2,1.1,2
2016-08-11 02:00:00,0,17,9.8,1.3,2
2016-08-11 03:00:00,0,15,9.5,1.3,2
2016-08-11 04:00:00,0,12,9.3,1.3,3
2016-08-11 05:00:00,0,8,9.3,1.3,3
2016-08-11 06:00:00,0,6,9.8,1.3,3
2016-08-11 07:00:00,0,5,11,1.1,2
2016-08-11 08:00:00,0,5,12.8,1,2
2016-08-11 09:00:00,0,5,14.3,1,2
2016-08-11 10:00:00,0,5,15.4,0.9,3
2016-08-11 11:00:00,0,4,16.2,1,3
2016-08-11 12:00:00,0,4,16.9,1.1,3
2016-08-11 13:00:00,0,3,17.3,1.2,2
2016-08-11 14:00:00,0,3,17.7,1.3,2
2016-08-11 15:00:00,0,3,17.8,1.4,2
2016-08-11 16:00:00,0,3,18,1.4,3
2016-08-11 17:00:00,0,4,17.9,1.3,3
2016-08-11 18:00:00,0,4,17.3,1.3,3
2016-08-11 19:00:00,0,5,15.9,1.2,2
2016-08-11 20:00:00,0,7,14,1.2,2
2016-08-11 21:00:00,0,8,12.4,1.2,2
2016-08-11 22:00:00,0,8,11.5,1.1,3
2016-08-11 00:00:00,0,15,10.4,1.1,3
2016-08-11 01:00:00,0,12,9.9,1.1,2
2016-08-11 02:00:00,0,7,9.5,1.2,2
2016-08-11 03:00:00,0,4,9.2,1.2,2
2016-08-11 04:00:00,0,3,9,1.3,3
2016-08-11 05:00:00,0,3,9,1.2,3
2016-08-11 06:00:00,0,4,9.5,1.2,3
2016-08-11 07:00:00,0,3,10.9,1,2
2016-08-11 08:00:00,0,2,12.9,0.9,2
2016-08-11 09:00:00,0,2,14.6,0.8,2
2016-08-11 10:00:00,0,2,15.7,0.9,2
2016-08-11 11:00:00,0,2,16.5,1,3
2016-08-11 12:00:00,0,2,17.3,0.9,3
2016-08-11 13:00:00,0,2,17.8,1,2
2016-08-11 14:00:00,0,2,18.2,1.2,2
2016-08-11 15:00:00,0,2,18.4,1.3,2
2016-08-11 16:00:00,0,2,18.4,1.3,3
2016-08-11 17:00:00,0,3,18.3,1.3,3
2016-08-11 18:00:00,0,4,17.6,1.2,3
2016-08-11 19:00:00,0,6,16.2,1.2,2
2016-08-11 20:00:00,0,10,14.2,1.1,2
2016-08-11 21:00:00,0,11,12.6,1.1,2
2016-08-11 22:00:00,0,11,11.7,1.1,3
2016-08-11 23:00:00,0,8,11.1,1.2,3
2016-08-13 00:00:00,0,1,12.8,1.3,3
2016-08-13 01:00:00,0,1,12.2,1.3,8
2016-08-13 02:00:00,0,1,11.5,1.3,8
2016-08-13 03:00:00,0,0,11.1,1.4,8
2016-08-13 04:00:00,0,0,10.9,1.4,3
2016-08-13 05:00:00,0,0,11.1,1.4,2
2016-08-13 06:00:00,0,1,12,1.4,1
2016-08-13 07:00:00,0,1,13.9,1.3,1
2016-08-13 08:00:00,0,1,16.8,1.2,1
2016-08-13 09:00:00,0,1,19.2,1.1,1
2016-08-13 10:00:00,0,1,20.9,1.1,1
2016-08-13 11:00:00,0,1,22.2,1.2,1
2016-08-13 12:00:00,0,1,23.2,1.3,1
2016-08-13 13:00:00,0,1,24.2,1.3,1
2016-08-13 14:00:00,0,1,25,1.4,1
2016-08-13 15:00:00,0,2,25.3,1.5,1
2016-08-13 16:00:00,0,2,25.1,1.5,1
2016-08-13 17:00:00,0,2,24.4,1.6,1
2016-08-13 18:00:00,0,2,23.2,1.5,2
2016-08-13 19:00:00,0,2,21.3,1.4,1
2016-08-13 20:00:00,0,3,18.9,1.2,1
2016-08-13 21:00:00,0,3,16.9,1.1,1
2016-08-13 22:00:00,0,3,15.9,1,3
2016-08-13 00:00:00,0,0,12.7,1,3
2016-08-13 01:00:00,0,0,12.2,1.1,8
2016-08-13 02:00:00,0,0,11.8,1.1,8
2016-08-13 03:00:00,0,1,11.6,1.1,8
2016-08-13 04:00:00,0,0,11.3,1.2,3
2016-08-13 05:00:00,0,0,11.3,1.1,2
2016-08-13 06:00:00,0,0,12.3,1,1
2016-08-13 07:00:00,0,0,14.1,1,1
2016-08-13 08:00:00,0,0,17,0.9,1
2016-08-13 09:00:00,0,1,19.5,0.8,1
2016-08-13 10:00:00,0,0,21.2,0.8,1
2016-08-13 11:00:00,0,0,22.5,0.7,1
2016-08-13 12:00:00,0,0,23.5,0.8,1
2016-08-13 13:00:00,0,1,24.5,0.8,1
2016-08-13 14:00:00,0,1,25.3,0.9,1
2016-08-13 15:00:00,0,1,25.6,1,1
2016-08-13 16:00:00,0,2,25.5,1.1,1
2016-08-13 17:00:00,0,1,25,1.2,1
2016-08-13 18:00:00,0,2,23.8,1.3,2
2016-08-13 19:00:00,0,2,21.7,1.2,1
2016-08-13 20:00:00,0,3,19,1.1,1
2016-08-13 21:00:00,0,3,16.8,1,1
2016-08-13 22:00:00,0,3,15.7,1,3
2016-08-13 23:00:00,0,2,15.1,1.1,3
2016-08-14 00:00:00,0,0,15.4,0.9,3
2016-08-14 01:00:00,0,0,14.8,0.9,8
2016-08-14 02:00:00,0,1,14.3,1,8
2016-08-14 03:00:00,0,1,14,1.1,8
2016-08-14 04:00:00,0,1,13.8,1.1,3
2016-08-14 05:00:00,0,1,13.8,1,2
2016-08-14 06:00:00,0,0,14.5,0.9,2
2016-08-14 07:00:00,0,0,16.5,0.9,1
2016-08-14 08:00:00,0,1,19.3,0.9,1
2016-08-14 09:00:00,0,1,21.7,0.9,1
2016-08-14 10:00:00,0,1,23.2,1,1
2016-08-14 11:00:00,0,1,24.3,1.1,1
2016-08-14 12:00:00,0,1,25.5,0.9,1
2016-08-14 13:00:00,0,1,26.4,1,1
2016-08-14 14:00:00,0,2,27,1.1,1
2016-08-14 15:00:00,0,3,27.2,1.3,1
2016-08-14 16:00:00,0,3,26.7,1.4,1
2016-08-14 17:00:00,0,2,25.8,1.5,2
2016-08-14 18:00:00,0,2,24.5,1.6,2
2016-08-14 19:00:00,0,2,22.5,1.4,1
2016-08-14 20:00:00,0,3,20.1,1.1,1
2016-08-14 21:00:00,0,2,18.3,1,1
2016-08-14 22:00:00,0,2,17.3,0.9,3
2016-08-14 23:00:00,0,2,16.8,1,3
2016-08-15 00:00:00,0,1,16.6,0.9,3
2016-08-15 01:00:00,0,1,16,1,8
2016-08-15 02:00:00,0,1,15.4,1,8
2016-08-15 03:00:00,0,1,15,1,8
2016-08-15 04:00:00,0,1,14.8,1,3
2016-08-15 05:00:00,0,1,14.9,0.9,2
