time,temp,description,rain (mm),rain (%),wind (max),wind (average)
2016-08-08 02:00:00,15°,nur selten Wolken,0.0,3.0,11.0,4.0
2016-08-08 05:00:00,14°,nur selten Wolken,0.0,3.0,7.0,4.0
2016-08-08 08:00:00,14°,ziemlich sonnig,0.0,3.0,7.0,4.0
2016-08-08 11:00:00,21°,ziemlich sonnig,0.0,3.0,13.0,7.0
2016-08-08 14:00:00,25°,sonnig,0.0,4.0,19.0,11.0
2016-08-08 17:00:00,27°,sonnig,0.0,5.0,22.0,11.0
2016-08-08 20:00:00,25°,sonnig,0.0,6.0,22.0,9.0
2016-08-08 23:00:00,18°,nur selten Wolken,0.0,6.0,15.0,7.0
2016-08-12 02:00:00,10°,ab und zu Wolken,0.0,11.0,9.0,4.0
2016-08-12 05:00:00,9°,ab und zu Wolken,0.0,9.0,7.0,4.0
2016-08-12 08:00:00,9°,Sonne und Wolken im Wechsel,0.1,17.0,9.0,6.0
2016-08-12 11:00:00,15°,ziemlich sonnig,0.0,19.0,15.0,7.0
2016-08-12 14:00:00,18°,ziemlich sonnig,0.0,11.0,22.0,11.0
2016-08-12 17:00:00,19°,ziemlich sonnig,0.0,11.0,22.0,11.0
2016-08-12 20:00:00,18°,ziemlich sonnig,0.0,10.0,20.0,9.0
2016-08-12 23:00:00,13°,nur selten Wolken,0.0,7.0,13.0,6.0
2016-08-13 02:00:00,14°,nur selten Wolken,0.0,4.0,11.0,6.0
2016-08-13 05:00:00,12°,nur selten Wolken,0.0,4.0,9.0,6.0
2016-08-13 08:00:00,12°,Sonne und Wolken im Wechsel,0.0,4.0,9.0,6.0
2016-08-13 11:00:00,19°,ziemlich sonnig,0.0,4.0,15.0,7.0
2016-08-13 14:00:00,23°,sonnig,0.0,4.0,20.0,11.0
2016-08-13 17:00:00,25°,sonnig,0.0,5.0,24.0,11.0
2016-08-13 20:00:00,23°,sonnig,0.0,5.0,22.0,9.0
2016-08-13 23:00:00,17°,nur selten Wolken,0.0,5.0,15.0,6.0
2016-08-14 02:00:00,15°,nur selten Wolken,0.0,3.0,13.0,6.0
